lat,lon,tos,source_file,month
8.5,-79.5,28.283077049255372,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
8.5,-78.5,28.4675612449646,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
8.5,-77.5,29.748418045043945,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
9.5,-81.5,28.378659788767497,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
9.5,-80.5,28.540705889242663,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
9.5,-79.5,28.57245728052579,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
9.5,-78.5,28.631799885078717,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
9.5,-77.5,29.111663327393714,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - July (28 models),July
7.5,-81.5,28.71651562584771,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
7.5,-80.5,27.446476459503174,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
7.5,-79.5,28.734702901486997,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
7.5,-78.5,28.816934882269965,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
8.5,-81.5,28.15906858444214,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
8.5,-80.5,28.097355461120607,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
8.5,-79.5,27.35032186508179,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
8.5,-78.5,27.212492752075196,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
8.5,-77.5,29.783499813079835,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
9.5,-81.5,28.36007093853421,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
9.5,-80.5,28.480170786822285,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
9.5,-79.5,28.485531044006343,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
9.5,-78.5,28.599939402827513,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
9.5,-77.5,29.107699620282204,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - June (28 models),June
7.5,-81.5,27.07418059243096,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
7.5,-80.5,26.412425804138184,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
7.5,-79.5,26.01881273764151,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
7.5,-78.5,26.01478005868417,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
8.5,-81.5,27.243528652191163,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
8.5,-80.5,27.26086950302124,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
8.5,-79.5,25.339274978637697,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
8.5,-78.5,24.11687421798706,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
8.5,-77.5,28.512215423583985,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
9.5,-81.5,26.934007860113073,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
9.5,-80.5,27.007819709071402,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
9.5,-79.5,26.92962273450998,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
9.5,-78.5,27.03831390451502,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
9.5,-77.5,27.436290108716047,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - March (28 models),March
7.5,-81.5,28.717968679357462,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
7.5,-80.5,27.23287868499756,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
7.5,-79.5,28.15622901916504,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
7.5,-78.5,28.164299848344587,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
8.5,-81.5,27.68694829940796,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
8.5,-80.5,27.69649248123169,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
8.5,-79.5,26.29237985610962,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
8.5,-78.5,25.54477243423462,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
8.5,-77.5,29.66090965270996,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
9.5,-81.5,27.850007230264172,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
9.5,-80.5,27.8912318194354,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
9.5,-79.5,27.856148077891426,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
9.5,-78.5,28.052509957772713,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
9.5,-77.5,28.652948665618894,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - May (28 models),May
7.5,-81.5,28.279753628483522,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
7.5,-80.5,28.3725248336792,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
7.5,-79.5,28.510441405684862,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
7.5,-78.5,28.650586008142543,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
8.5,-81.5,29.24332218170166,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
8.5,-80.5,29.248242092132568,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
8.5,-79.5,29.679798221588136,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
8.5,-78.5,29.544505023956297,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
8.5,-77.5,29.704719161987306,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
9.5,-81.5,28.643244460777,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
9.5,-80.5,28.84037257300483,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
9.5,-79.5,28.91230640778175,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
9.5,-78.5,29.020086380287445,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
9.5,-77.5,29.30970085638541,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - November (28 models),November
7.5,-81.5,28.346880079198765,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
7.5,-80.5,27.958567905426026,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
7.5,-79.5,28.605194437945336,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
7.5,-78.5,28.788851211689135,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
7.5,-77.5,,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
8.5,-81.5,29.577696228027342,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
8.5,-80.5,29.598754024505617,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
8.5,-79.5,29.503213691711426,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
8.5,-78.5,29.35359058380127,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
8.5,-77.5,29.66821393966675,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
9.5,-81.5,29.10267734174375,CMIP6 - Sea Surface Temperature (SST)  deg C - 1995-2014   - October (28 models),October
