"","timeseries","SSStime"
"1969","20150528","34.2247545719147"
"1970","20150529","34.2302713394165"
"1971","20150530","34.2340288162231"
"1972","20150531","34.237869977951"
"1973","20150601","34.239884853363"
"1974","20150602","34.2401056289673"
"1975","20150603","34.2377789020538"
"1976","20150604","34.2317092418671"
"1977","20150605","34.222599029541"
"1978","20150606","34.2097609043121"
"1979","20150607","34.1936938762665"
"1980","20150608","34.1749708652496"
"1981","20150609","34.1555123329163"
"1982","20150610","34.1368336677551"
"1983","20150611","34.1196610927582"
"1984","20150612","34.1062619686127"
"1985","20150613","34.0961399078369"
"1986","20150614","34.0895838737488"
"1987","20150615","34.0855324268341"
"1988","20150616","34.0841958522797"
"1989","20150617","34.0843620300293"
"1990","20150618","34.0848996639252"
"1991","20150619","34.085752248764"
"1992","20150620","34.0864973068237"
"1993","20150621","34.0857326984406"
"1994","20150622","34.084299325943"
"1995","20150623","34.0815713405609"
"1996","20150624","34.0774731636047"
"1997","20150625","34.0730531215668"
"1998","20150626","34.0679759979248"
"1999","20150627","34.060601234436"
"2000","20150628","34.0542783737183"
"2001","20150629","34.047102689743"
"2002","20150630","34.0403869152069"
"2003","20150701","34.0328171253204"
"2004","20150702","34.0244190692902"
"2005","20150703","34.0142858028412"
"2006","20150704","34.0030136108398"
"2007","20150705","33.99232172966"
"2008","20150706","33.9830446243286"
"2009","20150707","33.9776086807251"
"2010","20150708","33.9777398109436"
"2011","20150709","33.9843947887421"
"2012","20150710","33.9981482028961"
"2013","20150711","34.017359495163"
"2014","20150712","34.0406394004822"
"2015","20150713","34.0653867721558"
"2016","20150714","34.0888893604279"
"2017","20150715","34.1094496250153"
"2018","20150716","34.1248190402985"
"2019","20150717","34.1344954967499"
"2020","20150718","34.1384267807007"
"2021","20150719","34.1385290622711"
"2022","20150720","34.1328887939453"
"2023","20150721","34.1250734329224"
"2024","20150722","34.1161525249481"
"2025","20150723","34.1058459281921"
"2026","20150724","34.0962738990784"
"2027","20150725","34.0888376235962"
"2028","20150726","34.0835230350494"
"2029","20150727","34.0812227725983"
"2030","20150728","34.0834205150604"
"2031","20150729","34.0893697738647"
"2032","20150730","34.0995042324066"
"2033","20150731","34.1120893955231"
"2034","20150801","34.1261479854584"
"2035","20150802","34.1394958496094"
"2036","20150803","34.1502652168274"
"2037","20150804","34.1565091609955"
"2038","20150805","34.1555826663971"
"2039","20150806","34.1479384899139"
"2040","20150807","34.1334407329559"
"2041","20150808","34.1139817237854"
"2042","20150809","34.0910036563873"
"2043","20150810","34.0660884380341"
"2044","20150811","34.0413484573364"
"2045","20150812","34.0176732540131"
"2046","20150813","33.9965932369232"
"2047","20150814","33.9781968593597"
"2048","20150815","33.9635248184204"
"2049","20150816","33.9515149593353"
"2050","20150817","33.9438860416412"
"2051","20150818","33.9401712417603"
"2052","20150819","33.9416251182556"
"2053","20150820","33.9481194019318"
"2054","20150821","33.9591679573059"
"2055","20150822","33.9734964370728"
"2056","20150823","33.9904053211212"
"2057","20150824","34.0085506439209"
"2058","20150825","34.0255661010742"
"2059","20150826","34.0411429405212"
"2060","20150827","34.0538930892944"
"2061","20150828","34.0631895065308"
"2062","20150829","34.0688073635101"
"2063","20150830","34.0702655315399"
"2064","20150831","34.0676116943359"
"2065","20150901","34.063140630722"
"2066","20150902","34.0547106266022"
"2067","20150903","34.0440855026245"
"2068","20150904","34.0312087535858"
"2069","20150905","34.0176734924316"
"2070","20150906","34.0038049221039"
"2071","20150907","33.9923248291016"
"2072","20150908","33.9817757606506"
