"modelname","month","SSS","SSS_SD","SLdepth"
"IPSL-CM6A-LR","Jun",33.7524621146066,0.197632467434709,"0.505760014057159"
"IPSL-CM6A-LR","Jul",33.5248914446149,0.176237963476939,"0.505760014057159"
"IPSL-CM6A-LR","Aug",33.2652653285435,0.261937764115312,"0.505760014057159"
"IPSL-CM6A-LR","Sep",33.4098085675921,0.223629109828274,"0.505760014057159"
"IPSL-CM6A-LR","Oct",33.7668784005301,0.134667412982334,"0.505760014057159"
"IPSL-CM6A-LR","Nov",34.0276135035924,0.131937019017287,"0.505760014057159"
"IPSL-CM6A-LR","Dec",34.2440517970494,0.222766431559978,"0.505760014057159"
"IPSLCM5A2","Jan",27.1823120117188,0.68931204457048,"4.99993801116943"
"IPSLCM5A2","Feb",27.2613801956176,0.762418282123534,"4.99993801116943"
"IPSLCM5A2","Mar",26.9026756286621,0.773255079812693,"4.99993801116943"
"IPSLCM5A2","Apr",26.1729946136475,0.734180567970809,"4.99993801116943"
"IPSLCM5A2","May",25.3679141998291,0.67062986391216,"4.99993801116943"
"IPSLCM5A2","Jun",24.7347450256348,0.55627905758109,"4.99993801116943"
"IPSLCM5A2","Jul",24.3285217285156,0.468743087797029,"4.99993801116943"
"IPSLCM5A2","Aug",24.2837562561036,0.451490528240213,"4.99993801116943"
"IPSLCM5A2","Sep",24.6002588272095,0.414278569927782,"4.99993801116943"
"IPSLCM5A2","Oct",25.3314685821533,0.344819214882659,"4.99993801116943"
"IPSLCM5A2","Nov",26.2346601486206,0.434053196899447,"4.99993801116943"
"IPSLCM5A2","Dec",26.8725910186768,0.595755481770317,"4.99993801116943"
"IPSLCM5A","Jan",27.5702981948853,0.652634171122314,"4.99993801116943"
"IPSLCM5A","Feb",27.6145477294922,0.714130806371987,"4.99993801116943"
"IPSLCM5A","Mar",27.2344856262207,0.693579328688426,"4.99993801116943"
"IPSLCM5A","Apr",26.4920558929444,0.633160304061538,"4.99993801116943"
"IPSLCM5A","May",25.7668991088867,0.580107874204763,"4.99993801116943"
"IPSLCM5A","Jun",25.1949033737183,0.512987163489885,"4.99993801116943"
"IPSLCM5A","Jul",24.7818412780762,0.419475107761764,"4.99993801116943"
"IPSLCM5A","Aug",24.6865510940551,0.406005649327256,"4.99993801116943"
"IPSLCM5A","Sep",24.8599576950073,0.395043422616966,"4.99993801116943"
"IPSLCM5A","Oct",25.6146860122681,0.34699196921712,"4.99993801116943"
"IPSLCM5A","Nov",26.5046749114991,0.371995502802506,"4.99993801116943"
"IPSLCM5A","Dec",27.1926832199097,0.509801536091967,"4.99993801116943"
"MIROC4m","Jan",32.3935785293579,1.08812717205148,"2.5"
