Final_d18O,Final_d13C,Specimen,Species,D47_corr,D47_sd_ext,d18O_sd_ext,d13C_sd_ext,ShellChron_DOY,ShellChron_DOY_err,Month,T_mean,T_sd
2.51,0.88,SG127,Astarte benedeni,0.638655931,0.056342426,0.082083598,0.057852486,229.5009076,77.41259113,8,12.40845327,16.66321054
1.16,1.04,SG127,Astarte benedeni,0.668659775,0.056342426,0.082083598,0.057852486,180.9860295,24.03316693,6,3.996173198,15.21897809
1.09,0.53,SG127,Astarte benedeni,0.688671385,0.056342426,0.082083598,0.057852486,146.6697806,18.27762575,5,-1.218120199,14.36814293
1.74,1.04,SG127,Astarte benedeni,0.618675585,0.056342426,0.082083598,0.057852486,190.2452007,37.13898136,7,18.45480215,17.7574139
2,0.86,SG127,Astarte benedeni,0.678679412,0.056342426,0.082083598,0.057852486,218.6360287,64.97833023,8,1.348287357,14.78273798
1.73,0.24,SG126,Astarte benedeni,0.628683425,0.056342426,0.082083598,0.057852486,105.5241968,89.97796414,4,15.37878001,17.19478259
2.29,0.88,SG127,Astarte benedeni,0.598691446,0.056342426,0.082083598,0.057852486,229.5009076,77.41259113,8,24.9035043,18.97776914
2.56,1.19,SG126,Astarte benedeni,0.638695643,0.056342426,0.082083598,0.057852486,275.8460114,27.81311401,10,12.39680768,16.66114891
1.13,0.15,SG127,Astarte benedeni,0.668699649,0.056342426,0.082083598,0.057852486,251.7456193,38.62819127,9,3.985483382,15.21719948
0.79,0.62,SG127,Astarte benedeni,0.65870375,0.056342426,0.082083598,0.057852486,216.2905956,44.81082849,8,6.704633099,15.67421402
1.12,1.04,SG127,Astarte benedeni,0.678716462,0.056342426,0.082083598,0.057852486,180.9860295,24.03316693,6,1.338636422,14.7811638
0.74,0.64,SG127,Astarte benedeni,0.668720626,0.056342426,0.082083598,0.057852486,216.2905956,44.81082849,8,3.979860251,15.21626395
2.24,-0.4,SG105,Pygocardia rustica,0.614891504,0.056342426,0.082083598,0.057852486,24.38556935,,1,19.64378024,17.978234
2.54,1.6,SG105,Pygocardia rustica,0.714891556,0.056342426,0.082083598,0.057852486,112.5765847,,4,-7.624799209,13.36788907
1.63,0.41,SG105,Pygocardia rustica,0.664891603,0.056342426,0.082083598,0.057852486,188.7109656,14.72713989,7,5.011999591,15.38864314
2.61,1.4,SG105,Pygocardia rustica,0.624891653,0.056342426,0.082083598,0.057852486,223.9995716,61.13478551,8,16.53273393,17.40439404
2.99,1.51,SG105,Pygocardia rustica,0.644892187,0.056342426,0.082083598,0.057852486,34.43459651,70.62096487,2,10.59694388,16.3446138
2.98,1.26,SG105,Pygocardia rustica,0.674892446,0.056342426,0.082083598,0.057852486,333.511093,13.62429688,11,2.340120608,14.9451285
2.38,0.32,SG105,Pygocardia rustica,0.654892719,0.056342426,0.082083598,0.057852486,332.1721402,23.49676562,11,7.762611479,15.8545379
2.47,1.87,SG105,Pygocardia rustica,0.644893528,0.056342426,0.082083598,0.057852486,50.80514073,,2,10.59655826,16.34454643
2.86,1.48,SG105,Pygocardia rustica,0.654894042,0.056342426,0.082083598,0.057852486,353.9430202,25.73451097,12,7.762242172,15.85447471
3.05,1.29,SG105,Pygocardia rustica,0.674894507,0.056342426,0.082083598,0.057852486,358.1729405,49.77223388,12,2.339577956,14.94503932
2.86,0.91,SG105,Pygocardia rustica,0.654894971,0.056342426,0.082083598,0.057852486,47.46097078,33.42723391,2,7.761982818,15.85443033
2.44,0.78,SG105,Pygocardia rustica,0.634896197,0.056342426,0.082083598,0.057852486,0.179979365,23.06957965,1,13.51749012,16.86034637
2.6,1.81,SG105,Pygocardia rustica,0.614896877,0.056342426,0.082083598,0.057852486,16.76671087,17.50619035,1,19.64208155,17.97791717
2.51,1.5,SG105,Pygocardia rustica,0.684897631,0.056342426,0.082083598,0.057852486,115.9667427,,4,-0.257325805,14.52241434
3.02,1.37,SG105,Pygocardia rustica,0.574898311,0.056342426,0.082083598,0.057852486,8.186839153,65.56090499,1,33.16947404,20.62496824
2.89,1.31,SG105,Pygocardia rustica,0.624900807,0.056342426,0.082083598,0.057852486,246.6913671,35.63510115,9,16.52993145,17.40388286
2.22,0.55,SG105,Pygocardia rustica,0.554901725,0.056342426,0.082083598,0.057852486,223.88186,21.21413294,8,40.67527989,22.20401259
2.61,1.78,SG105,Pygocardia rustica,0.654902719,0.056342426,0.082083598,0.057852486,347.7175064,32.29197863,12,7.759819932,15.85406024
2.66,0.96,SG105,Pygocardia rustica,0.614904751,0.056342426,0.082083598,0.057852486,168.3350462,58.23140385,6,19.63959258,17.97745296
2.67,1.2,SG105,Pygocardia rustica,0.674905984,0.056342426,0.082083598,0.057852486,345.8880576,,12,2.336555626,14.94454264
3.27,1.41,SG105,Pygocardia rustica,0.664907068,0.056342426,0.082083598,0.057852486,326.5753518,,11,5.007807781,15.38794037
1.62,1.02,SG105,Pygocardia rustica,0.674908181,0.056342426,0.082083598,0.057852486,112.5765847,,4,2.335977157,14.94444758
2.41,0.76,SG105,Pygocardia rustica,0.664910695,0.056342426,0.082083598,0.057852486,285.8446291,,10,5.00682453,15.38777553
2.88,1.47,SG105,Pygocardia rustica,0.654912102,0.056342426,0.082083598,0.057852486,59.26268368,,2,7.757200325,15.85361202
3.05,1.27,SG105,Pygocardia rustica,0.644913436,0.056342426,0.082083598,0.057852486,337.6367479,,12,10.59083025,16.3435457
2.58,1.12,SG105,Pygocardia rustica,0.764914843,0.056342426,0.082083598,0.057852486,353.7382923,,12,-18.68717853,11.75410306
2.75,1.36,SG105,Pygocardia rustica,0.604917751,0.056342426,0.082083598,0.057852486,7.933913896,47.81238425,1,22.84863963,18.58283923
2.58,1.31,SG105,Pygocardia rustica,0.704919539,0.056342426,0.082083598,0.057852486,77.16527419,58.08186027,3,-5.241956168,13.73417869
2.53,0.92,SG105,Pygocardia rustica,0.684921077,0.056342426,0.082083598,0.057852486,309.862333,45.4212763,11,-0.263326634,14.52144731
1.58,2.33,SG116,Glycymeris radiolyrata,0.542409257,0.056342426,0.082083598,0.057852486,315.1051728,,11,45.65416576,23.29651735
1.63,2.08,SG116,Glycymeris radiolyrata,0.592403843,0.056342426,0.082083598,0.057852486,144.1286914,13.38311738,5,27.02264572,19.39106892
1.66,1.38,SG107,Arctica islandica,0.652398428,0.056342426,0.082083598,0.057852486,116.1500855,10.41301607,4,8.46158213,15.97444715
0.97,2.24,SG116,Glycymeris radiolyrata,0.572393278,0.056342426,0.082083598,0.057852486,199.3155108,11.36456868,7,34.08033166,20.8123075
1.86,1.41,SG107,Arctica islandica,0.66237739,0.056342426,0.082083598,0.057852486,187.3922959,13.60984426,7,5.696028933,15.50361631
2.2,2.11,SG116,Glycymeris radiolyrata,0.642372267,0.056342426,0.082083598,0.057852486,50.6698576,12.29789342,2,11.32477134,16.47211322
1.02,2.19,SG116,Glycymeris radiolyrata,0.662367144,0.056342426,0.082083598,0.057852486,295.7171109,,10,5.698826847,15.50408779
1.25,2.02,SG116,Glycymeris radiolyrata,0.592356677,0.056342426,0.082083598,0.057852486,220.8481011,10.6826304,8,27.03871356,19.39422613
1.46,0.58,SG107,Arctica islandica,0.572351056,0.056342426,0.082083598,0.057852486,158.4647593,20.45086732,6,34.09575364,20.81548949
0.94,2.33,SG116,Glycymeris radiolyrata,0.532345436,0.056342426,0.082083598,0.057852486,212.3229203,11.47553222,7,49.84217028,24.24398167
1.2,2.3,SG116,Glycymeris radiolyrata,0.592340227,0.056342426,0.082083598,0.057852486,235.5596775,,8,27.0443181,19.39532747
