modelname,month,Mean_Precipitation,Std_Precipitation
NorESM1-F,Dec,3.63495953877767,0.14514582960963374
NorESML,Jan,2.647098197937012,0.07363614033738995
NorESML,Feb,2.2088860702514643,0.12127020217582869
NorESML,Mar,1.9289741007486978,0.20211550193375238
NorESML,Apr,1.9153981272379559,0.29458348189286176
NorESML,May,1.6460942268371583,0.4070825292762209
NorESML,Jun,1.585588003794352,0.4189980041393844
NorESML,Jul,2.0228256479899094,0.21320795285006086
NorESML,Aug,2.9280671691894535,0.1300118574317699
NorESML,Sep,3.578210983276367,0.4062538709987193
NorESML,Oct,3.590893300374349,0.27107527682535715
NorESML,Nov,3.4571632639567054,0.07860665106333034
NorESML,Dec,2.944116287231445,0.04570650967388013
