Specimen,ID,d13C ,d13C_SD,d18Occ ,d18O_SD,Final_D47,D47_SD,Modelled age,Modelled age_align,Modelled age_align,Modelled age_align1
R. diluvianum,48,3.812,0.011260015,-0.92,0.011260015,0.693,0.140584572,0.745205479,0.161872146,0.161872146,0.078538812
R. diluvianum,49,3.718,0.01054698,-0.762,0.01054698,0.631,0.087037771,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,49,3.772,0.012879579,-0.829,0.012879579,0.613,0.120455288,0.687671233,0.1043379,0.1043379,0.021004566
R. diluvianum,50,3.521,0.009456357,-0.982,0.009456357,0.665,0.131441361,0.630136986,0.046803653,0.046803653,0.963470319
R. diluvianum,50,3.574,0.009391266,-0.889,0.009391266,0.685,0.077573442,0.630136986,0.046803653,0.046803653,0.963470319
R. diluvianum,50,3.614,0.014603816,-0.825,0.014603816,0.678,0.111923532,0.630136986,0.046803653,0.046803653,0.963470319
R. diluvianum,51,3.66,0.011667944,-0.808,0.011667944,0.688,0.13559252,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.706,0.013107787,-0.728,0.013107787,0.683,0.086271366,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.834,0.008451787,-0.667,0.008451787,0.679,0.116154793,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.699,0.016763804,-0.653,0.016763804,0.704,0.139674175,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.683,0.011084881,-0.828,0.011084881,0.68,0.115583894,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.665,0.013612117,-0.861,0.013612117,0.691,0.130146812,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.606,0.010787455,-0.766,0.010787455,0.682,0.127687459,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.666,0.00939203,-0.67,0.00939203,0.64,0.109851278,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,51,3.635,0.007174451,-0.638,0.007174451,0.67,0.13004827,0.567123288,0.983789955,0.983789955,0.900456621
R. diluvianum,52,3.374,0.008812062,-1.129,0.008812062,0.696,0.137536112,0.498630137,0.915296804,0.915296804,0.83196347
R. diluvianum,52,3.366,0.009668454,-1.303,0.009668454,0.672,0.16701637,0.498630137,0.915296804,0.915296804,0.83196347
R. diluvianum,53,2.98,0.009741979,-1.29,0.009741979,0.656,0.086031819,0.421917808,0.838584475,0.838584475,0.755251141
R. diluvianum,53,3.045,0.012038394,-1.116,0.012038394,0.684,0.130672796,0.421917808,0.838584475,0.838584475,0.755251141
R. diluvianum,53,3.015,0.012984014,-1.277,0.012984014,0.705,0.143312871,0.421917808,0.838584475,0.838584475,0.755251141
R. diluvianum,53,2.955,0.011390565,-1.348,0.011390565,0.665,0.094094207,0.421917808,0.838584475,0.838584475,0.755251141
R. diluvianum,53,3.109,0.012718154,-1.02,0.0127616,0.578,0.122391862,0.421917808,0.838584475,0.838584475,0.755251141
R. diluvianum,53,3.159,0.012718154,-1.237,0.012718154,0.605,0.125173305,0.421917808,0.838584475,0.838584475,0.755251141
R. diluvianum,54,3.439,0.010446665,-1.22,0.010446665,0.646,0.106209997,0.328767123,0.74543379,0.74543379,0.662100456
A. incurva,A002,1.60776568,0.012249937,-0.228633136,0.01401522,0.776562867,0.177999075,0.142465753,0.225799086,0.225799086,0.142465753
A. incurva,A002,1.542774442,0.012249937,0.105752019,0.01401522,0.638376026,0.177999075,0.142465753,0.225799086,0.225799086,0.142465753
A. incurva,A003,1.773734321,0.011239135,0.00098489,0.024445457,0.724701036,0.142612876,0.202739726,0.286073059,0.286073059,0.202739726
A. incurva,A004,1.780613757,0.012302074,-0.06823979,0.021002504,0.755383752,0.115864343,0.257534247,0.34086758,0.34086758,0.257534247
A. incurva,A004,1.72713033,0.012302074,-0.297071523,0.021002504,0.666966346,0.115864343,0.257534247,0.34086758,0.34086758,0.257534247
A. incurva,A005,1.818637068,0.008324025,-0.186196491,0.024778367,0.723119362,0.134137662,0.312328767,0.3956621,0.3956621,0.312328767
A. incurva,A006,1.792286867,0.012761242,-0.225735519,0.022897524,0.665187971,0.152427633,0.364383562,0.447716895,0.447716895,0.364383562
A. incurva,A006,1.81001529,0.012761242,-0.226989279,0.022897524,0.792343898,0.152427633,0.364383562,0.447716895,0.447716895,0.364383562
A. incurva,A006,1.788406297,0.012761242,-0.21060168,0.022897524,0.66789372,0.152427633,0.364383562,0.447716895,0.447716895,0.364383562
A. incurva,A016,1.924688407,0.008609688,0.082249426,0.029285166,0.699860914,0.1054736,0.830136986,0.913470319,0.913470319,0.830136986
A. incurva,A007,1.845562194,0.010073095,-0.215111049,0.019734488,0.728264534,0.163769064,0.830136986,0.913470319,0.913470319,0.830136986
A. incurva,A007,1.860761262,0.010073095,-0.127667734,0.019734488,0.779019317,0.163769064,0.830136986,0.913470319,0.913470319,0.830136986
A. incurva,A007,1.760281975,0.010073095,-0.655938325,0.019734488,0.730294765,0.163769064,0.830136986,0.913470319,0.913470319,0.830136986
A. incurva,A007,1.891371164,0.010073095,-0.074201514,0.019734488,0.698244252,0.163769064,0.95890411,0.042237443,0.042237443,0.95890411
A. incurva,A008,1.847991971,0.011677857,-0.082707813,0.01880032,0.750591502,0.120347522,0.95890411,0.042237443,0.042237443,0.95890411
A. incurva,A008,1.915684308,0.011677857,0.150651544,0.01880032,0.667881975,0.120347522,0.046575342,0.129908675,0.129908675,0.046575342
A. incurva,A009,1.720856344,0.01622273,-0.186709177,0.021283803,0.716476501,0.17375107,0.046575342,0.129908675,0.129908675,0.046575342
A. incurva,A009,2.005777994,0.01622273,0.100790724,0.021283803,0.802919141,0.17375107,0.046575342,0.129908675,0.129908675,0.046575342
A. incurva,A009,1.879447704,0.01622273,0.019899769,0.021283803,0.695646638,0.17375107,0.046575342,0.129908675,0.129908675,0.046575342
A. incurva,A009,1.795669905,0.01622273,-0.054687053,0.021283803,0.756296267,0.17375107,0.115068493,0.198401826,0.198401826,0.115068493
A. incurva,A010,1.887534087,0.010979663,-0.051220233,0.016783914,0.600831194,0.163897976,0.115068493,0.198401826,0.198401826,0.115068493
A. incurva,A010,1.855031419,0.010979663,0.044419172,0.016783914,0.701261013,0.163897976,0.178082192,0.261415525,0.261415525,0.178082192
A. incurva,A011,1.655542178,0.008253972,-0.162836752,0.018589489,0.729235153,0.152276501,0.178082192,0.261415525,0.261415525,0.178082192
A. incurva,A011,1.703219837,0.008253972,-0.05197096,0.018589489,0.690891378,0.152276501,0.178082192,0.261415525,0.261415525,0.178082192
A. incurva,A011,1.68830199,0.008253972,-0.086964392,0.018589489,0.751152299,0.152276501,0.235616438,0.318949771,0.318949771,0.235616438
A. incurva,A012,1.909551264,0.012995201,-0.127739794,0.022065914,0.752352399,0.11905399,0.290410959,0.373744292,0.373744292,0.290410959
A. incurva,A013,1.702845686,0.010355223,-0.007755513,0.016460905,0.711417667,0.149347145,0.290410959,0.373744292,0.373744292,0.290410959
A. incurva,A013,1.790911256,0.010355223,-0.242871715,0.016460905,0.670402361,0.149347145,0.342465753,0.425799086,0.425799086,0.342465753
A. incurva,A014,2.0454596,0.010413401,-0.099082243,0.004,0.734725406,0.03,0.342465753,0.425799086,0.425799086,0.342465753
A. incurva,A014,2.073409138,0.010413401,-0.125207347,0.004,0.769816465,0.03,0.936986301,0.020319634,0.020319634,0.936986301
A. incurva,A015,2.045266125,0.01025346,-0.173775084,0.016419403,0.686397525,0.171558227,0.936986301,0.020319634,0.020319634,0.936986301
A. incurva,A015,2.085257363,0.01025346,-0.056097116,0.016419403,0.803095773,0.171558227,0.936986301,0.020319634,0.020319634,0.936986301
A. incurva,A015,2.132246193,0.01025346,-0.082280374,0.016419403,0.714541934,0.171558227,0.969863014,0.053196347,0.053196347,0.969863014
A. incurva,A016,1.896813412,0.008609688,0.096116407,0.029285166,0.754218276,0.1054736,0.969863014,0.053196347,0.053196347,0.969863014
A. incurva,A017,1.971990049,0.010413401,-0.080279872,0.004,0.754027237,0.03,0.002739726,0.086073059,0.086073059,0.002739726
A. incurva,A017,1.871905142,0.010413401,-0.123717337,0.004,0.715428565,0.03,0.002739726,0.086073059,0.086073059,0.002739726
A. incurva,A017,1.937756808,0.010413401,-0.083249518,0.004,0.765461998,0.03,0.002739726,0.086073059,0.086073059,0.002739726
A. incurva,A018,1.867412627,0.012396538,0.036983094,0.019575997,0.738634799,0.164020325,0.032876712,0.116210045,0.116210045,0.032876712
A. incurva,A019,1.60872617,0.012143946,-0.100532809,0.01587459,0.631645414,0.12668048,0.065753425,0.149086758,0.149086758,0.065753425
A. incurva,A019,1.686046609,0.012143946,-0.119867314,0.01587459,0.723412164,0.12668048,0.065753425,0.149086758,0.149086758,0.065753425
A. incurva,A019,1.684072196,0.012143946,-0.187104587,0.01587459,0.707911635,0.12668048,0.065753425,0.149086758,0.149086758,0.065753425
A. incurva,A020,1.349010845,0.008420508,-0.403274639,0.012321882,0.743269066,0.141886624,0.098630137,0.18196347,0.18196347,0.098630137
A. incurva,A020,1.221692725,0.008420508,-0.377032422,0.012321882,0.627344893,0.141886624,0.098630137,0.18196347,0.18196347,0.098630137
A. incurva,A021,1.907640258,0.010413401,-0.109619408,0.004,0.751200854,0.03,0.134246575,0.217579908,0.217579908,0.134246575
A. incurva,A021,1.626850096,0.010413401,-0.237619164,0.004,0.732098182,0.03,0.134246575,0.217579908,0.217579908,0.134246575
A. incurva,A022,1.688962897,0.010263951,-0.222668023,0.023191205,0.715967364,0.188201563,0.169863014,0.253196347,0.253196347,0.169863014
A. incurva,A022,1.717369839,0.010263951,-0.505825133,0.023191205,0.756237813,0.188201563,0.169863014,0.253196347,0.253196347,0.169863014
A. incurva,A022,1.958740562,0.010263951,0.087230803,0.023191205,0.716509006,0.188201563,0.169863014,0.253196347,0.253196347,0.169863014
A. incurva,A023,1.51156363,0.009436968,-0.48696903,0.014437278,0.800168027,0.121661673,0.208219178,0.291552511,0.291552511,0.208219178
A. incurva,A023,1.58338702,0.009436968,-0.295415149,0.014437278,0.751715637,0.121661673,0.208219178,0.291552511,0.291552511,0.208219178
A. incurva,A023,1.485875505,0.009436968,-1.007217478,0.014437278,0.729451222,0.121661673,0.208219178,0.291552511,0.291552511,0.208219178
A. incurva,A023,1.473642368,0.009436968,-0.611145398,0.014437278,0.774641858,0.121661673,0.208219178,0.291552511,0.291552511,0.208219178
A. incurva,A024,1.556096716,0.011765964,-0.911400367,0.023977813,0.660248224,0.147102586,0.249315068,0.332648401,0.332648401,0.249315068
A. incurva,A024,1.615179121,0.011765964,-0.840087051,0.023977813,0.713845836,0.147102586,0.249315068,0.332648401,0.332648401,0.249315068
A. incurva,A025,1.13343285,0.013081009,-2.034342546,0.022331737,0.76907688,0.184697299,0.295890411,0.379223744,0.379223744,0.295890411
A. incurva,A025,1.559815775,0.013081009,-1.100507241,0.022331737,0.693869188,0.184697299,0.295890411,0.379223744,0.379223744,0.295890411
A. incurva,A026,1.400165991,0.010413401,-1.3989201,0.004,0.670574602,0.03,0.350684932,0.434018265,0.434018265,0.350684932
A. incurva,A026,1.643044793,0.010413401,-1.045924611,0.004,0.702677994,0.03,0.350684932,0.434018265,0.434018265,0.350684932
A. incurva,A027,1.349431337,0.011616874,-2.087797436,0.030128524,0.667295732,0.147247185,0.424657534,0.507990867,0.507990867,0.424657534
A. incurva,A028,1.596572258,0.011526437,-1.088840961,0.017516431,0.696311495,0.155602781,0.934246575,0.017579908,0.017579908,0.934246575
A. incurva,A028,1.711942431,0.011526437,-0.940353156,0.017516431,0.647717325,0.155602781,0.934246575,0.017579908,0.017579908,0.934246575
A. incurva,A029,1.566946599,0.009188975,-1.572930447,0.028085144,0.578129377,0.12302504,0.967123288,0.050456621,0.050456621,0.967123288
A. incurva,A029,1.45727096,0.009188975,-2.132329674,0.028085144,0.643358521,0.12302504,0.967123288,0.050456621,0.050456621,0.967123288
A. incurva,A030,1.799328041,0.010413401,-1.507997153,0.004,0.659916011,0.03,0,0.083333333,0.083333333,0
A. incurva,A030,1.730465485,0.010413401,-1.787104775,0.004,0.713171592,0.03,0,0.083333333,0.083333333,0
A. incurva,A031,2.12116171,0.010457691,-1.532362553,0.029523769,0.628926512,0.128975676,0.030136986,0.113470319,0.113470319,0.030136986
A. incurva,A031,2.044543683,0.010457691,-1.767831139,0.029523769,0.695590284,0.128975676,0.030136986,0.113470319,0.113470319,0.030136986
A. incurva,A032,2.257374522,0.008596182,-1.194918322,0.01470984,0.660163094,0.109195822,0.063013699,0.146347032,0.146347032,0.063013699
A. incurva,A032,2.361079553,0.008596182,-1.318739618,0.01470984,0.687451709,0.109195822,0.063013699,0.146347032,0.146347032,0.063013699
A. incurva,A032,2.294965265,0.008596182,-0.314724195,0.01470984,0.656934194,0.109195822,0.063013699,0.146347032,0.146347032,0.063013699
A. incurva,A032,2.191236008,0.008596182,-1.225419685,0.01470984,0.711400369,0.109195822,0.063013699,0.146347032,0.146347032,0.063013699
A. incurva,A032,2.20479885,0.008596182,-1.130162473,0.01470984,0.733104691,0.109195822,0.063013699,0.146347032,0.146347032,0.063013699
A. incurva,A032,1.944357737,0.008596182,-0.917029606,0.01470984,0.666160928,0.109195822,0.063013699,0.146347032,0.146347032,0.063013699
A. incurva,A032,1.996666465,0.008596182,-0.700099936,0.01470984,0.659579179,0.109195822,0.063013699,0.146347032,0.146347032,0.063013699
A. incurva,A101,1.420006134,0.012704821,-0.575460805,0.018536509,0.707732845,0.227963468,0.331506849,0.414840182,0.414840182,0.331506849
A. incurva,A101,2.264326174,0.012704821,0.936182166,0.018536509,0.680568866,0.227963468,0.331506849,0.414840182,0.414840182,0.331506849
A. incurva,A102,1.192616054,0.011494561,-0.962649255,0.018069534,0.656711797,0.11987704,0.673972603,0.757305936,0.757305936,0.673972603
A. incurva,A102,1.21930524,0.011494561,-0.787717202,0.018069534,0.705825487,0.11987704,0.673972603,0.757305936,0.757305936,0.673972603
