ID,D,Run,Row,Sample.intensity,X49.parameter,D47_raw,D47_SD,D47_final,Temperature,d18O,d13C,Whorl,sample_nr,Year,season_manual,d18O_SD,day,DOY_SD,season_label,T_d18O,DOY,Season
AN021,542,,,,,,,,,-0.68,0.57,,,,,0.1,300.919052,16.49639268,,,300.919052,
AN022,545,,,,,,,,,-0.31,0.69,,,,,0.1,300.427297,16.66811451,,,300.427297,
AN023,548,,,,,,,,,-0.67,0.72,,,,,0.1,302.1898512,16.8944812,,,302.1898512,
AN024,551,,,,,,,,,-0.44,1.01,,,,,0.1,308.6701851,17.26216904,,,308.6701851,
AN025,554,,,,,,,,,-0.41,0.74,,,,,0.1,312.9759806,18.11812481,,,312.9759806,
AO000,557,,,,,,,,,-0.01,0.89,,,,,0.1,318.1203768,18.88791679,,,318.1203768,
AO001,560,,,,,,,,,-0.08,0.89,,,,,0.1,322.0499033,20.37119973,,,322.0499033,
AO002,563,,,,,,,,,0.19,1.34,,,,,0.1,329.0510371,22.68320853,,,329.0510371,
AO003,566,,,,,,,,,0.03,1.21,,,,,0.1,330.6819643,25.61847272,,,330.6819643,
AO004,569,,,,,,,,,0.18,1.26,,,,,0.1,342.3121383,27.81586308,,,342.3121383,
AO005,572,,,,,,,,,0.03,1.28,,,,,0.1,348.5195669,30.02618773,,,348.5195669,
AO806,573.5,,,,,,,,,0.77,2.03,,,,,0.1,385.4598474,33.05774712,,,20.4598474,
AO006,575,,,,,,,,,0.2,2.22,,,,,0.1,422.4001279,36.08930651,,,57.4001279,
AO007,578,,,,,,,,,-0.77,1.01,,,,,0.1,450.3897071,40.77538641,,,85.3897071,
AO008,581,,,,,,,,,-0.36,1.36,,,,,0.1,476.0266734,24.93952291,,,111.0266734,
AO009,584,,,,,,,,,-0.86,1,,,,,0.1,480.818958,18.66179644,,,115.818958,
AO010,587,,,,,,,,,-0.41,1.44,,,,,0.1,479.3781189,15.45369946,,,114.3781189,
AO011,590,,,,,,,,,-0.86,1.13,,,,,0.1,484.5918163,14.67661307,,,119.5918163,
AO012,593,,,,,,,,,-0.46,1.62,,,,,0.1,485.0157524,13.92460513,,,120.0157524,
AO013,596,,,,,,,,,-0.89,1.1,,,,,0.1,489.1929333,13.47790011,,,124.1929333,
AO015,602,,,,,,,,,-0.8,1.2,,,,,0.1,492.662655,12.56117766,,,127.662655,
AO017,608,,,,,,,,,-0.84,0.76,,,,,0.1,497.0090086,11.83396254,,,132.0090086,
AO019,614,,,,,,,,,-0.97,0.65,,,,,0.1,499.8829682,12.55745244,,,134.8829682,
AO021,620,,,,,,,,,-1.22,0.25,,,,,0.1,502.8357411,11.80916513,,,137.8357411,
AO023,626,,,,,,,,,-1.27,0.28,,,,,0.1,503.497112,11.61392492,,,138.497112,
AO025(2),632,,,,,,,,,-1.2,0.3,,,,,0.1,506.0172792,10.93924758,,,141.0172792,
AP601a,634.5,,,,,,,,,-1.1,0.37,,,,,0.1,507.2865311,10.15570682,,,142.2865311,
APavg01,635.5,,,,,,,,,-1.17,,,,,,0.1,508.19805,9.726592909,,,143.19805,
